code	offical_name	offical_summary_category	suggested_categorization	average_minutes	avg_minutes_per_participant	participation_rate
t010101	Sleeping	Personal Care	Sleep	518.07	518.68	1
t010102	Sleeplessness	Personal Care	Sleep	3.78	76.74	0.05
t010199	Sleeping, n.e.c.*	Personal Care	Sleep	0.01	126.45	0
t010201	Washing, dressing and grooming oneself	Personal Care	Personal Care	40.61	50.93	0.8
t010299	Grooming, n.e.c.*	Personal Care	Personal Care	0.04	75.56	0
t010301	Health-related self care	Personal Care	Personal Care	4.62	76.35	0.06
t010399	Self care, n.e.c.*	Personal Care	Personal Care	0.17	128.24	0
t010401	Personal/Private activities	Personal Care	Personal Care	0.55	73.66	0.01
t010499	Personal activities, n.e.c.*	Personal Care	Personal Care	0.02	144.31	0
t010501	Personal emergencies	Personal Care	Personal Care	0	38.63	0
t010599	Personal care emergencies, n.e.c.*	Personal Care	Personal Care	0	20	0
t019999	Personal Care, n.e.c.*	Personal Care	Personal Care	0	36.75	0
t020101	Interior cleaning	Household Activities	Household Activities	21.76	91.28	0.24
t020102	Laundry	Household Activities	Household Activities	10.45	64.95	0.16
t020103	Sewing, repairing, & maintaining textiles	Household Activities	Household Activities	1.58	152.75	0.01
t020104	Storing interior hh items, inc. food	Household Activities	Household Activities	1.24	21.13	0.06
t020199	Housework, n.e.c.*	Household Activities	Household Activities	0.04	96.18	0
t020201	Food and drink preparation	Household Activities	Household Activities	25.6	50.71	0.5
t020202	Food presentation	Household Activities	Household Activities	0.34	16.77	0.02
t020203	Kitchen and food clean-up	Household Activities	Household Activities	7.32	33.8	0.22
t020299	Food & drink prep, presentation, & clean-up, n.e.c.*	Household Activities	Household Activities	0	12.06	0
t020301	Interior arrangement, decoration, & repairs	Household Activities	Household Activities	3.4	159.25	0.02
t020302	Building and repairing furniture	Household Activities	Household Activities	0.34	134.08	0
t020303	Heating and cooling	Household Activities	Household Activities	0.53	64.46	0.01
t020399	Interior maintenance, repair, & decoration, n.e.c.*	Household Activities	Household Activities	0.03	95.2	0
t020401	Exterior cleaning	Household Activities	Household Activities	1.76	88.59	0.02
t020402	Exterior repair, improvements, & decoration	Household Activities	Household Activities	1.65	165.48	0.01
t020499	Exterior maintenance, repair & decoration, n.e.c.*	Household Activities	Household Activities	0.03	98.87	0
t020501	Lawn, garden, and houseplant care	Household Activities	Household Activities	11.34	119.44	0.09
t020502	Ponds, pools, and hot tubs	Household Activities	Household Activities	0.21	60.52	0
t020599	Lawn and garden, n.e.c.*	Household Activities	Household Activities	0	48.46	0
t020681	NA	Household Activities	Household Activities	5.95	39.28	0.15
t020699	Pet and animal care, n.e.c.*	Household Activities	Household Activities	0.02	34.89	0
t020701	Vehicle repair and maintenance (by self)	Household Activities	Household Activities	2.47	99.57	0.02
t020799	Vehicles, n.e.c.*	Household Activities	Household Activities	0.01	22.14	0
t020801	Appliance, tool, and toy set-up, repair, & maintenance (by self)	Household Activities	Household Activities	1.04	74.52	0.01
t020899	Appliances and tools, n.e.c.*	Household Activities	Household Activities	0	7.58	0
t020901	Financial management	Household Activities	Household Activities	1.82	49.27	0.04
t020902	Household & personal organization and planning	Household Activities	Household Activities	5.92	42.08	0.14
t020903	HH & personal mail & messages (except e-mail)	Household Activities	Household Activities	1.24	20.64	0.06
t020904	HH & personal e-mail and messages	Household Activities	Household Activities	2.33	36.12	0.06
t020905	Home security	Household Activities	Household Activities	0.14	11.16	0.01
t020999	Household management, n.e.c.*	Household Activities	Household Activities	0.01	45.37	0
t029999	Household activities, n.e.c.*	Household Activities	Household Activities	0.16	103.98	0
t030101	Physical care for hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	9.18	63.08	0.15
t030102	Reading to/with hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.77	29.56	0.03
t030103	Playing with hh children, not sports	Caring For & Helping Household (HH) Member	Caring For Household Member	5.69	104.77	0.05
t030104	Arts and crafts with hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.06	53.68	0
t030105	Playing sports with hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.21	61.14	0
t030108	Organization & planning for hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.22	21.28	0.01
t030109	Looking after hh children (as a primary activity)	Caring For & Helping Household (HH) Member	Caring For Household Member	1.71	73.02	0.02
t030110	Attending hh children's events	Caring For & Helping Household (HH) Member	Caring For Household Member	1.26	109.47	0.01
t030111	Waiting for/with hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.39	23.14	0.02
t030112	Picking up/dropping off hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	1.09	12.72	0.09
t030186	NA	Caring For & Helping Household (HH) Member	Caring For Household Member	1.07	36.46	0.03
t030199	Caring for & helping hh children, n.e.c.*	Caring For & Helping Household (HH) Member	Caring For Household Member	0.1	61.81	0
t030201	Homework (hh children)	Caring For & Helping Household (HH) Member	Caring For Household Member	1.77	54.71	0.03
t030202	Meetings and school conferences (hh children)	Caring For & Helping Household (HH) Member	Caring For Household Member	0.16	53.92	0
t030203	Home schooling of hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.21	197.82	0
t030204	Waiting associated with hh children's education	Caring For & Helping Household (HH) Member	Caring For Household Member	0	19	0
t030299	Activities related to hh child's education, n.e.c.*	Caring For & Helping Household (HH) Member	Caring For Household Member	0.03	49.53	0
t030301	Providing medical care to hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.22	44.38	0
t030302	Obtaining medical care for hh children	Caring For & Helping Household (HH) Member	Caring For Household Member	0.26	69.38	0
t030303	Waiting associated with hh children's health	Caring For & Helping Household (HH) Member	Caring For Household Member	0.11	52.72	0
t030399	Activities related to hh child's health, n.e.c.*	Caring For & Helping Household (HH) Member	Caring For Household Member	0.05	161.01	0
t030401	Physical care for hh adults	Caring For & Helping Household (HH) Member	Caring For Household Member	0.73	49.42	0.01
t030402	Looking after hh adult (as a primary activity)	Caring For & Helping Household (HH) Member	Caring For Household Member	0.06	35.87	0
t030403	Providing medical care to hh adult	Caring For & Helping Household (HH) Member	Caring For Household Member	0.17	32.99	0.01
t030404	Obtaining medical and care services for hh adult	Caring For & Helping Household (HH) Member	Caring For Household Member	0.24	95.76	0
t030405	Waiting associated with caring for household adults	Caring For & Helping Household (HH) Member	Caring For Household Member	0.2	87.2	0
t030499	Caring for household adults, n.e.c.*	Caring For & Helping Household (HH) Member	Caring For Household Member	0.06	145.41	0
t030501	Helping hh adults	Caring For & Helping Household (HH) Member	Caring For Household Member	0.21	65.05	0
t030502	Organization & planning for hh adults	Caring For & Helping Household (HH) Member	Caring For Household Member	0.09	45.1	0
t030503	Picking up/dropping off hh adult	Caring For & Helping Household (HH) Member	Caring For Household Member	0.21	8.51	0.02
t030504	Waiting associated with helping hh adults	Caring For & Helping Household (HH) Member	Caring For Household Member	0.24	23.99	0.01
t030599	Helping household adults, n.e.c.*	Caring For & Helping Household (HH) Member	Caring For Household Member	0.06	70.79	0
t039999	Caring for & helping hh members, n.e.c.*	Caring For & Helping Household (HH) Member	Caring For Household Member	0.01	62.4	0
t040101	Physical care for nonhh children	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.66	59.76	0.01
t040102	Reading to/with nonhh children	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.06	37.97	0
t040103	Playing with nonhh children, not sports	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	1.64	121.69	0.01
t040104	Arts and crafts with nonhh children	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.02	62.02	0
t040105	Playing sports with nonhh children	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.04	72.16	0
